iter	RMSE
488	1582.94007
489	1582.449497
490	1581.987911
491	1581.519255
492	1581.246657
493	1581.0815
494	1580.897813
495	1580.630079
496	1580.207175
497	1579.927528
498	1579.662125
499	1579.362572
